WL,R,G,B,Y,sky,R-LED,G-LED,B-LED,Y-LED,Sky-LED
860,2.46614597542706E-05,4.46015910064397E-05,6.14209038970932E-05,3.74826998824687E-05,0.000405976931051,2.31969068201471E-05,4.19528673856189E-05,5.77733434560115E-05,3.52567408906359E-05,0.000381867461803
865,2.11416995205498E-05,3.81782938185883E-05,5.26203550403429E-05,3.21115070899127E-05,0.00036622217429,1.92047211697944E-05,3.46804421665249E-05,4.77993382425621E-05,2.91694875052133E-05,0.000332669317176
870,1.86271082598374E-05,3.35859118599176E-05,4.63310033585454E-05,2.82729259983642E-05,0.000319681542191,3.56558562780029E-05,6.42898741735957E-05,8.8686422708448E-05,5.41198006633093E-05,0.00061193175903
875,1.98783755387443E-05,3.57863568651099E-05,4.94100613610935E-05,3.01513291205523E-05,0.000364129566926,1.637744694E-05,2.94837553296001E-05,4.07080878750001E-05,2.48411542422E-05,0.0003
880,2.05407925456945E-05,3.69205579858135E-05,5.1021789885639E-05,3.11342675681802E-05,0.000417765683006,1.47517952558778E-05,2.65152627839399E-05,3.66423542960676E-05,2.23597185739447E-05,0.000300027070861
885,1.8068814371953E-05,3.24253373575515E-05,4.48505531400676E-05,2.73679670223028E-05,0.000388024020172,2.19004241250016E-05,3.9301341300452E-05,5.43614050035888E-05,3.31715226516385E-05,0.000470307040491
890,1.58650349458734E-05,2.84242320942855E-05,3.93526878339912E-05,2.40126880084666E-05,0.000362149553902,-1.2304831875074E-07,-2.20456745472999E-07,-3.05217233546328E-07,-1.86241057659719E-07,-2.80881157185961E-06
895,1.91047879636844E-05,3.41720948504316E-05,4.73550475479491E-05,2.88950977264207E-05,0.000462157744955,2.03786202344733E-05,3.6450556001829E-05,5.05124962391352E-05,3.08217094230007E-05,0.000492972609315
900,1.3882704320396E-05,2.47898371053812E-05,3.43861997759984E-05,2.09813511372146E-05,0.000355888768453,1.76138699130519E-05,3.14524429723988E-05,4.36279586225008E-05,2.66203746043926E-05,0.000451538715107
905,1.31028916205609E-05,2.33574395086893E-05,3.24308678287136E-05,1.97878715721406E-05,0.000355090677274,1.6638644179549E-05,2.96603327101153E-05,4.11821822130623E-05,2.51275339592075E-05,0.000450910196141
910,1.41984085752504E-05,2.52664495459609E-05,3.5116203442791E-05,2.14259048499744E-05,0.000403272345176,1.58538629497903E-05,2.82123750846063E-05,3.92105547426919E-05,2.39240445340368E-05,0.000450291626556
915,1.23331176268388E-05,2.19084460127101E-05,3.0479810805772E-05,1.8596655325716E-05,0.000366402134954,1.513634790801E-05,2.68880806139879E-05,3.74076559135798E-05,2.28235433612366E-05,0.000449682745005
920,1.0148221519845E-05,1.79949302898542E-05,2.50608480822748E-05,1.5290058650338E-05,0.000315117433856,1.44625346269053E-05,2.56451144584139E-05,3.57149656677034E-05,2.17903208207958E-05,0.000449083298957
925,1.12690642772958E-05,1.99460397091168E-05,2.78070501530712E-05,1.69651994494171E-05,0.000365213051414,1.38387632238652E-05,2.44943603120983E-05,3.4147926886689E-05,2.08337952867254E-05,0.000448493044357
930,1.21211397392886E-05,2.14144838699376E-05,2.98859073525109E-05,1.82331205463819E-05,0.00041669125175,1.30293132689707E-05,2.30189590117794E-05,3.21251018962472E-05,1.95992327932404E-05,0.000447911745287
935,1.05460094440884E-05,1.85966209441419E-05,2.5981344757273E-05,1.58506301738898E-05,0.000384094760357,1.22824980627992E-05,2.16587100487636E-05,3.02593903733894E-05,1.84605689419403E-05,0.000447339173649
940,9.51152238704176E-06,1.67403177449263E-05,2.3413611868975E-05,1.42837917557634E-05,0.000370628409892,1.14656926897478E-05,2.01796653555217E-05,2.82240074220328E-05,1.72184388630632E-05,0.000446775108862
945,1.10251888848621E-05,1.93665904891419E-05,2.71171237564762E-05,1.6542789369594E-05,0.00045482892778,1.08164898498645E-05,1.89999946159567E-05,2.66038157652038E-05,1.62296460562542E-05,0.000446219337567
950,8.02515091572496E-06,1.40688669311326E-05,1.97216910966502E-05,1.20309277992241E-05,0.000353724946121,1.01111960472028E-05,1.77259061164757E-05,2.48481165220043E-05,1.5158228285693E-05,0.000445671653353
955,7.46228089961026E-06,1.30557317140505E-05,1.83227184402085E-05,1.11772393992002E-05,0.000303628296412,1.09400177444093E-05,1.91402519604187E-05,2.68618760883373E-05,1.63863031968079E-05,0.000445131856485
960,1.0085008770609E-05,1.76081667000003E-05,2.47409191475568E-05,1.5092110358786E-05,0.000303614993841,1.4768020374359E-05,2.57845848720081E-05,3.62294576397701E-05,2.21001883429365E-05,0.000444599753654
965,1.09288851688358E-05,1.90417154716849E-05,2.678738737397E-05,1.63400662687305E-05,0.000303601878943,1.59855611634306E-05,2.78521095817944E-05,3.91816194112982E-05,2.39004367525188E-05,0.000444075157732
970,6.56351674631046E-06,1.14115026288177E-05,1.60730979396289E-05,9.80420019703859E-06,0.000303588947188,9.58961006241703E-06,1.66727479591064E-05,2.34835603676525E-05,1.43244026788418E-05,0.000443557887535
975,3.94145519721191E-06,6.8378897434155E-06,9.64320667846308E-06,5.88197243483555E-06,0.00030357619419,5.75227227847622E-06,9.97941157421994E-06,1.40735712260229E-05,8.58431855412175E-06,0.000443047767606
