# mpl-nrb : v.20150816.1315/Linux - MPL4/SCO: dowloaded from MPLNET
# Date Time, aod
2020-07-08 11:31:29 nan	
2020-07-08 11:32:30 nan	
2020-07-08 11:33:29 nan	
2020-07-08 11:34:30 nan	
2020-07-08 11:35:29 nan	
2020-07-08 11:36:30 nan	
2020-07-08 11:37:30 nan	
2020-07-08 11:38:29 nan	
2020-07-08 11:39:30 nan	
2020-07-08 11:40:29 0.6655179	
2020-07-08 11:41:30 nan	
2020-07-08 11:42:29 nan	
2020-07-08 11:43:30 nan	
2020-07-08 11:44:29 nan	
2020-07-08 11:45:30 nan	
2020-07-08 11:46:30 nan	
2020-07-08 11:47:29 nan	
2020-07-08 11:48:30 nan	
2020-07-08 11:49:29 nan	
2020-07-08 11:50:30 nan	
2020-07-08 11:51:29 nan	
2020-07-08 11:52:30 nan	
2020-07-08 11:53:29 nan	
2020-07-08 11:54:30 nan	
2020-07-08 11:55:30 0.66694194	
2020-07-08 11:56:29 nan	
2020-07-08 11:57:30 nan	
2020-07-08 11:58:29 nan	
2020-07-08 11:59:30 nan	
2020-07-08 12:00:29 nan	
2020-07-08 12:01:30 nan	
2020-07-08 12:02:29 nan	
2020-07-08 12:03:30 nan	
2020-07-08 12:04:30 nan	
2020-07-08 12:05:29 nan	
2020-07-08 12:06:30 nan	
2020-07-08 12:07:29 nan	
2020-07-08 12:08:30 nan	
2020-07-08 12:09:29 nan	
2020-07-08 12:10:30 0.6678596	
2020-07-08 12:11:29 nan	
2020-07-08 12:12:30 nan	
2020-07-08 12:13:30 nan	
2020-07-08 12:14:29 nan	
2020-07-08 12:15:30 nan	
2020-07-08 12:16:29 nan	
2020-07-08 12:17:30 nan	
2020-07-08 12:18:29 nan	
2020-07-08 12:19:30 nan	
2020-07-08 12:20:29 nan	
2020-07-08 12:21:30 nan	
2020-07-08 12:22:30 nan	
2020-07-08 12:23:29 nan	
2020-07-08 12:24:30 nan	
2020-07-08 12:25:29 0.6759916	
2020-07-08 12:26:30 nan	
2020-07-08 12:27:29 nan	
2020-07-08 12:28:30 nan	
2020-07-08 12:29:29 nan	
2020-07-08 12:30:30 nan	
