YYYY/mm/dd,MEAN(HR_sunrise),STD(HR_sunrise),MEAN(HR_sunset),STD(HR_sunset)
2020/08/03,50.16,0.84,37.47,1.81
2020/08/04,64.96,0.84,47.85,2.10
2020/08/05,61.71,0.61,45.83,2.05
2020/08/06,63.44,0.50,54.40,0.78
2020/08/07,61.08,1.10,57.65,0.48
2020/08/08,60.96,0.20,49.50,1.37
2020/08/09,60.15,1.19,42.33,2.10
2020/08/10,62.62,0.48,49.50,1.34
2020/08/11,61.10,0.98,57.67,0.51
2020/08/12,62.32,1.96,59.56,0.73
2020/08/13,62.29,0.84,49.96,0.77
2020/08/14,61.79,1.46,57.09,1.43
2020/08/15,61.46,0.50,55.49,1.05
2020/08/16,59.17,0.66,46.40,1.61
2020/08/17,54.79,1.65,39.43,2.41
2020/08/18,55.00,1.30,33.43,1.78
2020/08/19,29.34,1.74,17.70,1.03
2020/08/20,38.60,3.17,55.87,2.40
2020/08/21,42.62,3.10,65.55,2.40
2020/08/22,35.11,1.19,25.38,1.48
2020/08/23,33.72,1.35,22.28,2.74
2020/08/24,27.81,1.06,37.13,1.86
2020/08/25,31.11,0.87,60.32,0.59
2020/08/26,71.28,2.39,69.41,3.52
2020/08/27,83.22,1.33,42.80,1.12
2020/08/28,28.30,2.40,27.72,0.65
2020/08/29,58.41,1.05,54.89,0.63
2020/08/30,57.35,3.85,53.26,0.53
2020/08/31,55.26,0.61,54.41,0.82
2020/09/01,59.80,1.57,55.93,1.70
2020/09/02,66.74,0.44,63.46,2.37
2020/09/03,63.00,0.00,67.87,1.03
2020/09/04,71.72,1.47,65.15,0.75
2020/09/05,71.30,0.55,54.93,2.09
2020/09/06,61.91,1.02,61.93,0.70
2020/09/07,63.98,2.81,58.78,0.59
2020/09/08,30.22,2.62,40.62,1.58
2020/09/09,25.13,1.39,47.24,1.52
2020/09/10,52.33,0.47,46.61,1.67
2020/09/11,51.51,0.50,56.35,2.31
2020/09/12,62.80,0.80,68.24,1.59
2020/09/13,75.84,0.42,72.11,0.43
2020/09/14,69.13,1.26,60.02,1.00
2020/09/15,61.51,1.24,43.78,3.91
2020/09/16,44.26,0.57,42.13,1.17
2020/09/17,64.53,0.78,55.84,0.76
2020/09/18,57.09,1.02,41.22,2.58
2020/09/19,63.00,0.79,61.69,1.99
2020/09/20,66.91,0.28,70.02,0.49
2020/09/21,49.73,0.83,65.48,0.50
2020/09/22,62.78,0.98,50.91,1.43
2020/09/23,24.56,5.48,63.93,1.34
2020/09/24,57.52,3.21,62.76,1.80
2020/09/25,45.89,1.04,45.87,1.93
2020/09/26,67.87,0.61,57.00,0.91
2020/09/27,62.60,2.25,63.83,2.02
2020/09/28,56.11,1.82,53.47,0.54
2020/09/29,58.18,0.48,52.76,0.87
2020/09/30,59.57,0.80,54.39,0.74
2020/10/01,57.78,0.76,55.02,0.49
2020/10/02,51.85,1.06,63.87,0.97
2020/10/03,63.78,3.90,65.85,1.10
2020/10/04,80.61,4.41,58.53,1.26
2020/10/05,68.80,4.00,73.00,0.76
2020/10/06,70.96,0.75,72.35,0.76
2020/10/07,65.83,2.82,79.41,0.57
2020/10/08,74.43,0.50,42.48,2.38
2020/10/09,70.15,0.36,51.70,1.27
2020/10/10,64.09,1.35,58.26,2.70
2020/10/11,62.85,0.75,55.83,1.13
2020/10/12,68.63,1.20,70.33,1.79
2020/10/13,31.00,1.10,57.61,2.02
2020/10/14,42.26,2.56,67.28,0.92
2020/10/15,64.63,0.53,69.77,0.97
2020/10/16,68.83,1.17,64.19,1.25
2020/10/17,65.51,1.03,64.11,1.02
2020/10/18,63.02,0.15,71.94,0.86
2020/10/19,75.00,0.66,81.30,0.74
2020/10/20,71.38,1.71,66.45,1.07
2020/10/21,54.37,0.79,60.72,0.49
2020/10/22,60.21,1.25,51.40,0.79
2020/10/23,53.70,0.90,48.04,1.41
2020/10/24,54.04,1.40,50.43,1.28
2020/10/25,58.96,0.20,54.23,0.80
2020/10/26,57.38,1.33,56.40,0.61
2020/10/27,64.02,0.86,57.68,0.97
2020/10/28,52.79,0.80,54.87,1.12
2020/10/29,53.04,0.41,52.49,1.30
2020/10/30,60.04,1.03,60.74,1.10
2020/10/31,49.04,0.84,28.35,2.81
2020/11/01,61.11,1.19,47.73,5.14
2020/11/02,47.77,2.38,56.21,0.50
2020/11/03,58.65,0.56,57.94,0.76
2020/11/04,64.79,1.73,68.25,0.63
2020/11/05,50.90,1.18,50.94,0.38
2020/11/06,56.33,1.71,53.80,0.70
2020/11/07,62.79,0.41,67.38,0.48
2020/11/08,54.94,0.72,51.31,0.89
2020/11/09,61.40,0.49,67.10,2.10
2020/11/10,63.98,1.19,66.35,1.64
2020/11/11,65.69,0.58,67.39,1.01
2020/11/12,71.48,0.58,77.50,0.50
2020/11/13,69.90,2.51,28.22,0.46
2020/11/14,39.16,1.35,78.52,0.82
2020/11/15,69.65,2.01,83.02,0.43
2020/11/16,60.20,2.44,78.59,1.29
2020/11/17,22.55,1.03,61.67,4.08
2020/11/18,49.90,2.28,36.35,4.35
2020/11/19,62.06,0.62,70.34,0.76
2020/11/20,69.24,1.12,56.31,4.44
2020/11/21,51.94,1.63,39.04,1.28
2020/11/22,59.62,1.34,73.10,1.39
2020/11/23,75.00,0.00,25.02,0.58
2020/11/24,48.74,3.20,30.22,1.69
2020/11/25,55.67,1.52,69.96,3.06
2020/11/26,58.84,2.65,53.68,1.10
2020/11/27,52.06,3.80,67.64,2.65
2020/11/28,65.82,1.13,59.76,0.62
2020/11/29,82.84,0.61,71.82,3.09
2020/11/30,58.02,1.83,54.70,1.25
2020/12/01,66.34,0.97,68.76,1.91
2020/12/02,64.48,0.98,60.00,1.33
2020/12/03,65.34,0.55,73.78,0.78
2020/12/04,67.82,0.78,67.42,2.93
2020/12/05,55.94,0.98,58.40,3.52
2020/12/06,69.64,3.30,64.18,3.47
2020/12/07,63.33,2.29,53.90,0.50
2020/12/08,61.82,1.00,52.75,0.76
2020/12/09,59.27,1.09,58.18,0.65
2020/12/10,59.82,1.08,64.04,1.23
2020/12/11,61.27,1.42,71.92,2.40
2020/12/12,63.04,0.19,60.76,1.00
2020/12/13,63.10,1.86,52.14,1.47
2020/12/14,66.29,0.46,63.92,0.62
2020/12/15,63.63,1.27,57.69,0.46
2020/12/16,60.45,1.49,55.75,1.40
2020/12/17,60.90,1.45,49.78,0.77
2020/12/18,59.96,0.19,53.63,0.62
2020/12/19,59.10,0.69,52.65,1.13
2020/12/20,68.73,0.45,68.18,4.26
2020/12/21,63.61,0.49,64.04,0.71
2020/12/22,70.51,1.24,72.35,1.03
2020/12/23,64.41,0.53,54.80,1.67
2020/12/24,50.67,2.83,50.86,1.44
2020/12/25,68.53,0.57,71.12,0.32
2020/12/26,61.67,0.78,76.35,0.59
2020/12/27,76.33,0.47,67.33,0.92
2020/12/28,45.10,3.45,68.18,2.64
2020/12/29,68.00,0.00,62.69,0.64
2020/12/30,61.24,0.73,68.29,1.77
2020/12/31,61.73,0.49,58.73,1.98
