# mpl-nrb : v.20150816.1315/Linux - MPL4/SCO: dowloaded from MPLNET
Date Time aod
2020-05-22 06:55:30 0.06341151	
2020-05-22 06:56:29 0.063750796	
2020-05-22 06:57:30 0.06404885	
2020-05-22 06:58:30 0.0636767	
2020-05-22 06:59:29 0.06460332	
2020-05-22 07:00:30 0.06429752	
2020-05-22 07:01:29 0.064740166	
2020-05-22 07:02:30 0.063272566	
2020-05-22 07:03:29 0.06256621	
2020-05-22 07:04:30 0.06304264	
2020-05-22 07:05:29 0.063427046	
2020-05-22 07:06:30 0.06398858	
2020-05-22 07:07:30 0.061855078	
2020-05-22 07:08:29 0.060077183	
2020-05-22 07:09:30 0.058110796	
2020-05-22 07:10:29 0.056426026	
2020-05-22 07:11:30 0.06497478	
2020-05-22 07:12:29 0.054129038	
2020-05-22 07:13:30 0.06630434	
2020-05-22 07:14:29 0.068752296	
2020-05-22 07:15:30 0.061736755	
2020-05-22 07:16:30 0.06457356	
2020-05-22 07:17:29 0.06786901	
2020-05-22 07:18:30 0.06782268	
2020-05-22 07:19:29 0.06726371	
2020-05-22 07:20:30 0.06778482	
2020-05-22 07:21:29 0.06750547	
2020-05-22 07:22:30 0.0679977	
2020-05-22 07:23:29 0.068283826	
2020-05-22 07:24:30 0.068165	
2020-05-22 07:25:30 0.06753205	
2020-05-22 07:26:29 0.06671626	
2020-05-22 07:27:30 0.06575872	
2020-05-22 07:28:29 0.06470259	
2020-05-22 07:29:30 0.063574255	
2020-05-22 07:30:29 0.06271146	
2020-05-22 07:31:30 0.06210771	
2020-05-22 07:32:29 0.06075229	
2020-05-22 07:33:30 0.059379663	
2020-05-22 07:34:30 0.05979731	
2020-05-22 07:35:29 0.061295796	
2020-05-22 07:36:30 0.06227455	
2020-05-22 07:37:29 0.06376664	
2020-05-22 07:38:30 0.064504154	
2020-05-22 07:39:29 0.0658897	
2020-05-22 07:40:30 0.067627415	
2020-05-22 07:41:29 0.06809233	
2020-05-22 07:42:30 0.069221355	
2020-05-22 07:43:30 0.069518656	
2020-05-22 07:44:29 0.0668489	
2020-05-22 07:45:30 0.065055616	
2020-05-22 07:46:29 0.06325526	
2020-05-22 07:47:30 0.06850699	
2020-05-22 07:48:29 0.068762586	
2020-05-22 07:49:30 0.06906619	
2020-05-22 07:50:29 0.07122822	
2020-05-22 07:51:30 0.071643904	
2020-05-22 07:52:30 0.074506834	
2020-05-22 07:53:29 0.0767794	
2020-05-22 07:54:30 0.07255642	
2020-05-22 07:55:29 0.0739434	
2020-05-22 07:56:30 0.072915606	
2020-05-22 07:57:29 0.07285856	
2020-05-22 07:58:30 0.072776265	
2020-05-22 07:59:29 0.070752	
2020-05-22 08:00:30 0.06914897	
2020-05-22 08:01:30 0.06732317	
2020-05-22 08:02:29 0.06630185	
2020-05-22 08:03:30 0.06523078	
2020-05-22 08:04:29 0.064988986	
2020-05-22 08:05:30 0.064061865	
2020-05-22 08:06:29 0.061910275	
2020-05-22 08:07:30 0.07059082	
2020-05-22 08:08:29 0.06340306	
2020-05-22 08:09:30 0.065672494	
