# mpl-nrb : v.20150816.1315/Linux - MPL4/SCO: dowloaded from MPLNET
# Input File: MPL100_V3_L15_PBL_20200522_MPL44255_Santa_Cruz_Tenerife.nc4
# Date Time, Mixed Layer Height [km]
2020-05-25 18:47:29 1.1242218	
2020-05-25 18:48:30 1.1242218	
2020-05-25 18:49:30 1.1242218	
2020-05-25 18:50:29 1.1242218	
2020-05-25 18:51:30 1.1242218	
2020-05-25 18:52:29 1.1242218	
2020-05-25 18:53:30 1.1242218	
2020-05-25 18:54:29 1.1242218	
2020-05-25 18:55:30 1.1242218	
2020-05-25 18:56:29 1.1242218	
2020-05-25 18:57:30 1.1242218	
2020-05-25 18:58:30 1.1242218	
2020-05-25 18:59:29 1.1242218	
2020-05-25 19:00:30 1.1242218	
2020-05-25 19:01:29 1.1242218	
2020-05-25 19:02:30 1.1242218	
2020-05-25 19:03:29 1.1242218	
2020-05-25 19:04:30 1.1242218	
2020-05-25 19:05:29 1.1242218	
2020-05-25 19:06:30 1.1242218	
2020-05-25 19:07:30 1.1242218	
2020-05-25 19:08:29 1.1242218	
2020-05-25 19:09:30 1.1242218	
2020-05-25 19:10:29 1.1242218	
2020-05-25 19:11:30 1.1242218	
2020-05-25 19:12:29 1.1242218	
2020-05-25 19:13:30 1.1242218	
2020-05-25 19:14:29 1.1242218	
2020-05-25 19:15:30 1.1242218	
2020-05-25 19:16:30 1.1242218	
2020-05-25 19:17:29 1.1242218	
2020-05-25 19:18:30 1.1242218	
2020-05-25 19:19:29 1.1242218	
2020-05-25 19:20:30 1.1242218	
2020-05-25 19:21:29 1.19917	
2020-05-25 19:22:30 1.19917	
2020-05-25 19:23:29 1.19917	
2020-05-25 19:24:30 1.19917	
2020-05-25 19:25:30 1.19917	
2020-05-25 19:26:29 1.19917	
2020-05-25 19:27:30 1.19917	
2020-05-25 19:28:29 1.19917	
2020-05-25 19:29:30 1.19917	
2020-05-25 19:30:29 1.19917	
2020-05-25 19:31:30 1.19917	
2020-05-25 19:32:29 1.19917	
2020-05-25 19:33:30 1.19917	
2020-05-25 19:34:30 1.19917	
2020-05-25 19:35:29 1.19917	
2020-05-25 19:36:30 1.19917	
2020-05-25 19:37:29 1.19917	
2020-05-25 19:38:30 1.19917	
2020-05-25 19:39:29 1.19917	
2020-05-25 19:40:30 1.19917	
2020-05-25 19:41:29 1.19917	
2020-05-25 19:42:30 1.2741181	
2020-05-25 19:43:30 1.2741181	
2020-05-25 19:44:29 1.2741181	
2020-05-25 19:45:30 1.2741181	
2020-05-25 19:46:29 1.2741181	
2020-05-25 19:47:30 1.2741181	
2020-05-25 19:48:29 1.2741181	
2020-05-25 19:49:30 1.2741181	
2020-05-25 19:50:29 1.2741181	
2020-05-25 19:51:30 1.2741181	
2020-05-25 19:52:30 1.2741181	
2020-05-25 19:53:29 1.2741181	
2020-05-25 19:54:30 1.2741181	
2020-05-25 19:55:29 1.2741181	
2020-05-25 19:56:30 1.2741181	
2020-05-25 19:57:29 1.2741181	
2020-05-25 19:58:30 1.2741181	
2020-05-25 19:59:29 1.2741181	
2020-05-25 20:00:30 1.2741181	
2020-05-25 20:01:30 1.2741181	
2020-05-25 20:02:29 1.2741181	
2020-05-25 20:03:30 1.2741181	
2020-05-25 20:04:29 1.2741181	
2020-05-25 20:05:30 1.2741181	
2020-05-25 20:06:29 1.2741181	
2020-05-25 20:07:30 1.19917	
2020-05-25 20:08:29 1.2741181	
2020-05-25 20:09:30 1.2741181	
2020-05-25 20:10:30 1.2741181	
2020-05-25 20:11:29 1.2741181	
2020-05-25 20:12:30 1.2741181	
2020-05-25 20:13:29 1.2741181	
2020-05-25 20:14:30 1.2741181	
2020-05-25 20:15:29 1.2741181	
2020-05-25 20:16:30 1.2741181	
2020-05-25 20:17:29 1.2741181	
2020-05-25 20:18:30 1.2741181	
2020-05-25 20:19:30 1.2741181	
2020-05-25 20:20:29 1.2741181	
2020-05-25 20:21:30 1.2741181	
2020-05-25 20:22:29 1.2741181	
2020-05-25 20:23:30 1.2741181	
2020-05-25 20:24:29 1.2741181	
2020-05-25 20:25:30 1.2741181	
2020-05-25 20:26:29 1.2741181	
2020-05-25 20:27:30 1.2741181	
2020-05-25 20:28:30 1.19917	
2020-05-25 20:29:29 1.19917	
2020-05-25 20:30:30 1.19917	
2020-05-25 20:31:29 1.19917	
2020-05-25 20:32:30 1.19917	
2020-05-25 20:33:29 1.19917	
2020-05-25 20:34:30 1.19917	
2020-05-25 20:35:29 1.19917	
2020-05-25 20:36:30 1.19917	
2020-05-25 20:37:30 1.2741181	
2020-05-25 20:38:29 1.2741181	
2020-05-25 20:39:30 1.2741181	
2020-05-25 20:40:29 1.2741181	
2020-05-25 20:41:30 1.2741181	
2020-05-25 20:42:29 1.2741181	
2020-05-25 20:43:30 1.2741181	
2020-05-25 20:44:29 1.2741181	
2020-05-25 20:45:30 1.2741181	
2020-05-25 20:46:30 1.2741181	
2020-05-25 20:47:29 1.2741181	
2020-05-25 20:48:30 1.2741181	
2020-05-25 20:49:29 1.19917	
2020-05-25 20:50:30 1.19917	
2020-05-25 20:51:29 1.19917	
2020-05-25 20:52:30 1.19917	
2020-05-25 20:53:29 1.19917	
2020-05-25 20:54:30 1.19917	
2020-05-25 20:55:30 1.19917	
2020-05-25 20:56:29 1.19917	
2020-05-25 20:57:30 1.19917	
2020-05-25 20:58:29 1.19917	
2020-05-25 20:59:30 1.19917	
2020-05-25 21:00:29 1.19917	
2020-05-25 21:01:30 1.19917	
2020-05-25 21:02:29 1.19917	
2020-05-25 21:03:30 1.19917	
2020-05-25 21:04:30 1.19917	
2020-05-25 21:05:29 1.19917	
2020-05-25 21:06:30 1.19917	
2020-05-25 21:07:29 1.19917	
2020-05-25 21:08:30 1.19917	
2020-05-25 21:09:29 1.19917	
2020-05-25 21:10:30 1.19917	
2020-05-25 21:11:29 1.19917	
2020-05-25 21:12:30 1.19917	
2020-05-25 21:13:30 1.19917	
2020-05-25 21:14:29 1.19917	
2020-05-25 21:15:30 1.19917	
2020-05-25 21:16:29 1.19917	
2020-05-25 21:17:30 1.19917	
2020-05-25 21:18:29 1.19917	
2020-05-25 21:19:30 1.19917	
2020-05-25 21:20:29 1.19917	
2020-05-25 21:21:30 1.19917	
2020-05-25 21:22:30 1.19917	
2020-05-25 21:23:29 1.19917	
2020-05-25 21:24:30 1.19917	
2020-05-25 21:25:29 1.19917	
2020-05-25 21:26:30 1.19917	
2020-05-25 21:27:29 1.19917	
2020-05-25 21:28:30 1.19917	
2020-05-25 21:29:29 1.19917	
2020-05-25 21:30:30 1.19917	
2020-05-25 21:31:30 1.19917	
2020-05-25 21:32:29 1.19917	
2020-05-25 21:33:30 1.19917	
2020-05-25 21:34:29 1.19917	
2020-05-25 21:35:30 1.19917	
2020-05-25 21:36:29 1.19917	
2020-05-25 21:37:30 1.19917	
2020-05-25 21:38:29 1.19917	
2020-05-25 21:39:30 1.19917	
2020-05-25 21:40:30 1.19917	
2020-05-25 21:41:29 1.19917	
2020-05-25 21:42:30 1.19917	
2020-05-25 21:43:29 1.19917	
2020-05-25 21:44:30 1.19917	
2020-05-25 21:45:29 1.19917	
2020-05-25 21:46:30 1.19917	
2020-05-25 21:47:29 1.19917	
2020-05-25 21:48:30 1.19917	
2020-05-25 21:49:30 1.19917	
2020-05-25 21:50:29 1.19917	
2020-05-25 21:51:30 1.19917	
2020-05-25 21:52:29 1.19917	
2020-05-25 21:53:30 1.19917	
2020-05-25 21:54:29 1.19917	
2020-05-25 21:55:30 1.19917	
2020-05-25 21:56:29 1.19917	
2020-05-25 21:57:30 1.19917	
2020-05-25 21:58:30 1.19917	
2020-05-25 21:59:29 1.19917	
2020-05-25 22:00:30 1.19917	
2020-05-25 22:01:29 1.19917	
2020-05-25 22:02:30 1.19917	
2020-05-25 22:03:29 1.19917	
2020-05-25 22:04:30 1.19917	
2020-05-25 22:05:29 1.19917	
2020-05-25 22:06:30 1.19917	
2020-05-25 22:07:30 1.19917	
2020-05-25 22:08:29 1.19917	
2020-05-25 22:09:30 1.19917	
2020-05-25 22:10:29 1.19917	
2020-05-25 22:11:30 1.19917	
2020-05-25 22:12:29 1.19917	
2020-05-25 22:13:30 1.19917	
2020-05-25 22:14:29 1.19917	
2020-05-25 22:15:30 1.19917	
2020-05-25 22:16:30 1.19917	
2020-05-25 22:17:29 1.19917	
2020-05-25 22:18:30 1.19917	
2020-05-25 22:19:29 1.19917	
2020-05-25 22:20:30 1.19917	
2020-05-25 22:21:29 1.19917	
2020-05-25 22:22:30 1.19917	
2020-05-25 22:23:29 1.19917	
2020-05-25 22:24:30 1.19917	
2020-05-25 22:25:30 1.19917	
2020-05-25 22:26:29 1.19917	
2020-05-25 22:27:30 1.19917	
2020-05-25 22:28:29 1.19917	
2020-05-25 22:29:30 1.19917	
2020-05-25 22:30:29 1.19917	
2020-05-25 22:31:30 1.19917	
2020-05-25 22:32:29 1.19917	
2020-05-25 22:33:30 1.19917	
2020-05-25 22:34:30 1.19917	
2020-05-25 22:35:29 1.19917	
2020-05-25 22:36:30 1.19917	
2020-05-25 22:37:29 1.19917	
2020-05-25 22:38:30 1.19917	
2020-05-25 22:39:29 1.19917	
2020-05-25 22:40:30 1.19917	
2020-05-25 22:41:29 1.19917	
2020-05-25 22:42:30 1.19917	
2020-05-25 22:43:30 1.19917	
2020-05-25 22:44:29 1.19917	
2020-05-25 22:45:30 1.19917	
2020-05-25 22:46:29 1.19917	
2020-05-25 22:47:30 1.19917	
2020-05-25 22:48:29 1.19917	
2020-05-25 22:49:30 1.19917	
2020-05-25 22:50:29 1.19917	
2020-05-25 22:51:30 1.19917	
2020-05-25 22:52:30 1.19917	
2020-05-25 22:53:29 1.19917	
2020-05-25 22:54:30 1.19917	
2020-05-25 22:55:29 1.19917	
2020-05-25 22:56:30 1.19917	
2020-05-25 22:57:29 1.19917	
2020-05-25 22:58:30 1.19917	
2020-05-25 22:59:29 1.19917	
2020-05-25 23:00:30 1.2741181	
2020-05-25 23:01:30 1.2741181	
2020-05-25 23:02:29 1.2741181	
2020-05-25 23:03:30 1.2741181	
2020-05-25 23:04:29 1.2741181	
2020-05-25 23:05:30 1.2741181	
2020-05-25 23:06:29 1.2741181	
2020-05-25 23:07:30 1.2741181	
2020-05-25 23:08:29 1.3490663	
2020-05-25 23:09:30 1.3490663	
2020-05-25 23:10:30 1.3490663	
2020-05-25 23:11:29 1.3490663	
